team,date,rank,goalkeeper_score,defense_score,offense_score,midfield_score
Argentina,2022-06-05,2,89,86,86,85
Australia,2022-06-13,27,80,70,75,71
Belgium,2022-06-14,4,91,79,80,86
Brazil,2022-06-06,1,89,84,84,86
Cameroon,2022-06-09,33,82,72,75,75
Canada,2022-06-13,53,75,70,74,74
Costa Rica,2022-06-14,32,87,74,73,73
Croatia,2022-06-13,7,83,77,78,73
Denmark,2022-06-13,18,79,78,79,80
Ecuador,2022-06-11,41,74,75,75,75
England,2022-06-14,5,84,83,85,83
France,2022-06-13,3,87,82,85,83
Germany,2022-06-14,14,88,82,82,85
Ghana,2022-06-14,58,72,75,81,76
IR Iran,2022-06-12,24,73,69,75,69
Japan,2022-06-14,20,74,76,75,77
Korea Republic,2022-06-14,25,75,75,79,74
Mexico,2022-06-14,15,82,76,79,77
Morocco,2022-06-13,24,82,81,82,76
Netherlands,2022-06-14,6,79,82,83,81
Poland,2022-06-14,22,86,74,80,76
Portugal,2022-06-12,9,82,84,85,82
Italy,2022-03-29,8,85,82,85,83
Saudi Arabia,2022-06-09,49,71,71,71,72
Senegal,2022-06-07,19,86,71,71,72
Sweeden,2022-06-12,23,80,76,80,75
Spain,2022-06-12,10,85,80,82,84
Switzerland,2022-06-12,12,86,78,77,78
Chile,2022-06-14,31,64,76,72,74
USA,2022-06-14,13,79,75,75,76
Uruguay,2022-06-11,16,76,79,78,79
Wales,2022-06-14,28,76,73,76,74
