nationality_name,overall,potential
France,85.2,87.08
England,84.18,88.2
Spain,83.55,88.36
Brazil,85.64,89.09
Portugal,83.55,85
Germany,85,87.55
Netherlands,83.36,87
Argentina,85.73,89.18
Belgium,83.45,85.55
Uruguay,78,81
Croatia,80.27,84.36
USA,76.27,83.73
Denmark,79.91,83.18
Mexico,78.45,82.91
Senegal,79.73,82.82
Poland,79.18,82.82
Italy,81.34,82.62
Switzerland,79.09,82.55
Sweden,78.45,81.64
Morocco,79.55,81.45
Japan,75.55,80.45
Ghana,76.27,80.09
Wales,75.36,80
Ecuador,73.09,79.91
Korea Republic,75.27,79
Cameroon,75.09,78.91
Canada,73.64,78.45
Australia,72.55,76.82
Chile,76.22,76.4
Saudi Arabia,71.45,75.27
Costa Rica,72,74.55
IR Iran,70.82,72.36
